ID,Pred
2015_3106_3107,0.03356515822144872
2015_3106_3110,0.19031378306566615
2015_3106_3113,0.0012508610975513095
2015_3106_3114,0.06291866217317948
2015_3106_3116,0.13453626890402687
2015_3106_3124,0.0008620329976983586
2015_3106_3129,0.13267219671110583
2015_3106_3140,0.14101989503347573
2015_3106_3143,0.00263649667786047
2015_3106_3151,0.029683204915072457
2015_3106_3163,0.0008574594871038059
2015_3106_3169,0.07160467297611404
2015_3106_3173,0.036339803013661263
2015_3106_3177,0.04146264035374393
2015_3106_3181,0.0030678225316326762
2015_3106_3195,0.0050982861865458634
2015_3106_3199,0.001151939349698824
2015_3106_3203,0.004549230634089398
2015_3106_3211,0.09612587257236865
2015_3106_3234,0.0033503985124862215
2015_3106_3235,0.037346295484919474
2015_3106_3241,0.05780510520561648
2015_3106_3246,0.0026338010602012882
2015_3106_3251,0.13198537828605153
2015_3106_3257,0.001782937086034046
2015_3106_3261,0.10871866960196298
2015_3106_3268,0.0006460037603435008
2015_3106_3274,0.05190135691245267
2015_3106_3278,0.04974765785794137
2015_3106_3280,0.0031398296886670104
2015_3106_3285,0.1874113077778783
2015_3106_3304,0.0524969094307167
2015_3106_3308,0.1785173013194537
2015_3106_3314,0.001624760516024108
2015_3106_3321,0.032743039532929334
2015_3106_3322,0.12534368105291274
2015_3106_3323,0.0005987590475755982
2015_3106_3325,0.21850475515962026
2015_3106_3326,0.002017873525007814
2015_3106_3328,0.002395639129852523
2015_3106_3329,0.056043307633631405
2015_3106_3333,0.0023563390688839192
2015_3106_3338,0.05293412342261412
2015_3106_3343,0.0026629627369727073
2015_3106_3346,0.05973365313046012
2015_3106_3353,0.03342348236662018
2015_3106_3355,0.0911062931906647
2015_3106_3366,0.1255031299519712
2015_3106_3371,0.09181771183815199
2015_3106_3376,0.0006968076596295916
2015_3106_3378,0.002359212111553194
2015_3106_3383,0.22834648449445993
2015_3106_3390,0.0019224609871848544
2015_3106_3393,0.029555636669302377
2015_3106_3397,0.0019656046854955055
2015_3106_3398,0.085619357908927
2015_3106_3400,0.002017873525007814
2015_3106_3401,0.0062239440585428185
2015_3106_3408,0.05288443489841301
2015_3106_3443,0.05755844917535736
2015_3106_3449,0.00698614773010275
2015_3106_3453,0.04914840164865687
2015_3106_3455,0.0440319068936514
2015_3107_3110,0.9522462262443027
2015_3107_3113,0.010209426124615948
2015_3107_3114,0.27046812742464865
2015_3107_3116,0.7693418042319722
2015_3107_3124,0.04687314867980167
2015_3107_3129,0.9283617293672045
2015_3107_3140,0.9118857581946282
2015_3107_3143,0.05855336835437192
2015_3107_3151,0.46997056263263437
2015_3107_3163,0.0006582120348088289
2015_3107_3169,0.6614845966845998
2015_3107_3173,0.25175203916775113
2015_3107_3177,0.28841649548724596
2015_3107_3181,0.042139870964087965
2015_3107_3195,0.28707823278110967
2015_3107_3199,0.06455330398007811
2015_3107_3203,0.37062538288828734
2015_3107_3211,0.5370457120690609
2015_3107_3234,0.03802250591370688
2015_3107_3235,0.3932585826294462
2015_3107_3241,0.8394428706467894
2015_3107_3246,0.02838629642768824
2015_3107_3251,0.8124909801850851
2015_3107_3257,0.021974308379011834
2015_3107_3261,0.5326771765037761
2015_3107_3268,0.026335317042857815
2015_3107_3274,0.3119552887828825
2015_3107_3278,0.669609766154468
2015_3107_3280,0.4236542250710944
2015_3107_3285,0.9445746936855554
2015_3107_3304,0.531719810317002
2015_3107_3308,0.9183384131689999
2015_3107_3314,0.03755181210515995
2015_3107_3321,0.416670970368275
2015_3107_3322,0.9533760357604915
2015_3107_3323,0.005015106444780641
2015_3107_3325,0.7884716687773221
2015_3107_3326,0.08395085316587662
2015_3107_3328,0.07450236956636011
2015_3107_3329,0.2302340669759281
2015_3107_3333,0.020172832601348306
2015_3107_3338,0.33232351132463006
2015_3107_3343,0.04326387261413697
2015_3107_3346,0.8064324831694116
2015_3107_3353,0.28552266361225276
2015_3107_3355,0.8599155242517874
2015_3107_3366,0.8242263410258701
2015_3107_3371,0.4013133701020073
2015_3107_3376,0.004312897362742262
2015_3107_3378,0.11595056284447228
2015_3107_3383,0.8492994902234245
2015_3107_3390,0.03003857123748925
2015_3107_3393,0.2518395650844722
2015_3107_3397,0.04160284403509048
2015_3107_3398,0.8221335587380645
2015_3107_3400,0.07712657597083826
2015_3107_3401,0.11241821785559442
2015_3107_3408,0.7878182310885236
2015_3107_3443,0.5899640343117123
2015_3107_3449,0.11859139675960367
2015_3107_3453,0.2706397064289153
2015_3107_3455,0.6239753247760794
2015_3110_3113,0.0012031661550628578
2015_3110_3114,0.09625930825213742
2015_3110_3116,0.1830185948468039
2015_3110_3124,0.0003721111994304855
2015_3110_3129,0.35521077064781087
2015_3110_3140,0.23119727497311846
2015_3110_3143,0.0032140727203826933
2015_3110_3151,0.03970202298388616
2015_3110_3163,0.00024980153714820744
2015_3110_3169,0.17419795912881808
2015_3110_3173,0.015958408458025326
2015_3110_3177,0.015042928634769274
2015_3110_3181,0.0028238714710599358
2015_3110_3195,0.01772133561231259
2015_3110_3199,0.001248373174678014
2015_3110_3203,0.022739574072213956
2015_3110_3211,0.1191067616129209
2015_3110_3234,0.0016201680290487434
2015_3110_3235,0.05907996930515159
2015_3110_3241,0.03970316110608617
2015_3110_3246,0.0030490581538269563
2015_3110_3251,0.1992047347955203
2015_3110_3257,0.0010516953802641256
2015_3110_3261,0.1838255131801983
2015_3110_3268,0.00048756963371561024
2015_3110_3274,0.10790332990849136
2015_3110_3278,0.08252746736562233
2015_3110_3280,0.00342842606856392
2015_3110_3285,0.4349948043209741
2015_3110_3304,0.062232523674704325
2015_3110_3308,0.2969387688190671
2015_3110_3314,0.0013166313760242577
2015_3110_3321,0.017575206717253686
2015_3110_3322,0.5046197720386119
2015_3110_3323,0.0004359854554073893
2015_3110_3325,0.3247505654335948
2015_3110_3326,0.0060193677455085345
2015_3110_3328,0.00725826974928914
2015_3110_3329,0.06244965051276479
2015_3110_3333,0.0010873347090159535
2015_3110_3338,0.04807525663631032
2015_3110_3343,0.014736669675941968
2015_3110_3346,0.04821502221736647
2015_3110_3353,0.06733869925892293
2015_3110_3355,0.13076120621775825
