id,target
0,7.535772
5,7.7937093
15,7.595072
16,7.4044886
17,7.360818
19,7.53742
20,7.3895564
21,7.8188233
23,7.405251
29,7.326834
31,7.3801436
32,7.3040257
33,7.410651
34,7.560041
35,7.7840824
37,7.4244103
38,7.382118
39,7.633743
40,7.394642
44,7.355977
49,7.758699
53,7.6628356
56,7.4536963
60,7.446794
61,7.3315763
63,6.909412
64,7.649917
66,7.2891603
70,7.5221405
71,7.0545063
72,7.426301
75,7.6730337
76,7.615441
78,7.472477
85,7.307864
86,7.2151475
89,7.877746
90,7.39045
92,7.6471524
93,7.2777557
94,7.458891
100,7.645012
101,7.3969665
102,7.4351673
105,7.121946
106,7.4393644
107,7.369814
108,7.836681
109,7.657392
112,7.4247737
113,7.7040524
116,7.385491
117,7.36817
118,7.58225
120,7.515867
129,7.2125807
130,7.377352
132,7.4505105
133,7.775761
134,7.200811
136,7.3828387
137,7.7549725
141,7.241941
142,7.6072974
152,7.5736456
154,7.7339716
156,7.309594
160,7.4103994
161,7.263896
166,7.3255844
170,7.5480056
173,7.383898
174,7.711097
175,7.5491166
179,7.4488544
182,7.395333
186,7.2662435
188,7.4408684
189,7.293385
191,7.754173
193,7.265484
194,7.424362
195,7.332106
196,7.5798244
197,7.649972
199,7.7122645
200,7.084072
202,7.299592
203,7.8543954
204,7.1986094
206,7.755765
207,7.364985
212,7.4757686
217,7.6478724
218,7.449414
220,7.398251
224,7.3555694
225,7.438533
229,7.549071
230,7.604405
234,7.417174
235,7.374142
238,7.6753693
239,7.693496
241,7.607489
243,7.205066
245,7.2887864
247,7.5910864
251,7.210913
252,7.279407
253,7.453959
255,7.6344175
256,7.344696
258,7.4633603
259,7.499766
260,7.35
263,7.439505
264,7.4194765
266,7.3822165
267,7.3445024
268,7.1974177
270,7.2507796
273,7.395312
274,7.4892354
275,8.244011
276,7.337238
277,7.579357
281,7.553528
282,7.46497
285,7.5170774
292,7.3778925
293,7.2928853
295,7.633612
298,7.439113
299,7.505244
300,7.5201964
301,7.4847317
302,7.348139
309,7.6919036
311,7.4847627
316,7.382221
317,7.328424
319,7.693249
321,7.0967755
322,7.689984
324,7.598731
328,7.768807
329,8.041343
331,7.1297607
334,7.4293647
337,7.2477684
338,7.3074794
340,7.314474
344,7.762527
349,7.760277
350,7.5205083
351,7.329634
354,7.542694
356,7.540336
358,7.454802
361,7.491536
364,7.5640554
365,7.365298
370,7.7640586
372,7.2714252
374,7.2884016
375,7.125303
376,7.468002
379,7.252398
380,7.6100917
382,7.2807584
383,7.4846296
385,7.2677636
389,7.0387025
392,7.252269
394,7.7822704
395,7.656235
398,7.5460005
400,7.6116242
402,7.6225114
403,7.0010705
406,8.078989
410,7.7729464
412,7.3427367
413,7.5857267
417,7.4312267
418,7.9422436
419,7.2469134
420,7.205601
423,7.2272735
424,7.6299458
426,7.614681
427,7.4021697
432,7.9871464
434,7.4161925
438,7.1747255
441,7.3648515
443,7.3422894
448,7.119884
449,7.184335
451,7.3709493
452,7.4993215
457,7.6145115
458,7.969303
459,7.4757395
464,7.626935
465,7.521384
467,7.616222
471,7.310941
472,7.5185304
477,7.5776296
478,7.519243
480,7.4432263
483,7.5782084
487,6.847535
489,7.4056535
491,7.4667525
492,7.365312
496,7.3980565
500,7.4888873
501,7.581572
502,7.734859
503,7.5471616
505,7.4508066
506,7.329152
514,7.5014076
517,7.478988
519,7.033384
522,7.29166
523,7.7019243
528,7.748995
530,7.114057
532,6.772469
535,7.4187045
538,7.367501
542,7.253351
546,7.4019303
548,7.528341
550,7.6550994
555,7.656548
557,7.6206636
559,7.640779
560,7.0970993
562,7.4272118
566,7.21848
567,7.505907
569,7.244463
571,8.321033
572,7.3584805
574,7.389937
577,7.4914875
581,7.3487077
583,7.468577
587,6.860711
590,6.9261713
592,7.6390996
593,7.5730205
608,7.43228
612,7.2372165
614,7.723098
616,7.4445715
617,7.428447
625,7.205789
626,7.579903
631,7.535556
633,7.4443264
636,7.7527356
